Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-03-22 07:21:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,
2025-03-22 07:21:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2025-03-22 07:21:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2025-03-22 07:21:37,Other,DRS DISABLED IN ZONE 2,,,,,,
2025-03-22 07:21:37,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
2025-03-22 07:21:38,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-03-22 07:21:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2025-03-22 07:21:54,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 87 (BEA) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2025-03-22 07:21:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2025-03-22 07:21:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
2025-03-22 07:22:05,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 81 (PIA), 63 (RUS), 6 (HAD), 4 (NOR), 55 (SAI), 23 (ALB), 12 (ANT), 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-03-22 07:22:08,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-03-22 07:22:11,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-03-22 07:22:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2025-03-22 07:22:15,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 81 (PIA), 63 (RUS), 6 (HAD), 4 (NOR), 55 (SAI), 23 (ALB), 12 (ANT), 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-03-22 07:22:21,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2025-03-22 07:22:22,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2025-03-22 07:22:24,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2025-03-22 07:22:25,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2025-03-22 07:22:25,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-03-22 07:22:26,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-03-22 07:22:26,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-03-22 07:22:30,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2025-03-22 07:22:32,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
