Driver,Time,GapToLeader
1,0 days 01:25:20.453000,9.709
1,0 days 01:25:23.202000,9.681
1,0 days 01:25:25.231000,9.645
1,0 days 01:25:31.575000,9.846
1,0 days 01:25:35.509000,9.832
1,0 days 01:25:37.397000,9.79
1,0 days 01:25:42.021000,9.959
1,0 days 01:25:47.392000,10.079
1,0 days 01:25:53.030000,10.264
1,0 days 01:26:00.073000,10.334
1,0 days 01:26:04.768000,10.489
1,0 days 01:26:12.045000,10.667
1,0 days 01:26:15.210000,10.664
1,0 days 01:26:19.211000,10.597
1,0 days 01:26:20.287000,10.567
1,0 days 01:26:22.722000,10.494
10,0 days 00:56:07.863000,1.477
10,0 days 00:56:10.366000,1.621
10,0 days 00:56:10.375000,1.621
10,0 days 00:56:15.216000,2.482
10,0 days 00:56:18.409000,2.849
10,0 days 00:56:21.324000,2.879
10,0 days 00:56:24.034000,2.809
10,0 days 00:56:26.031000,2.715
10,0 days 00:56:32.747000,3.437
10,0 days 00:56:36.765000,3.402
10,0 days 00:56:38.735000,3.431
10,0 days 00:56:44.108000,4.099
10,0 days 00:56:49.625000,4.681
10,0 days 00:56:55.457000,5.22
10,0 days 00:57:02.424000,5.67
10,0 days 00:57:07.098000,5.768
10,0 days 00:57:14.192000,6.085
10,0 days 00:57:17.408000,6.048
10,0 days 00:57:21.319000,5.91
10,0 days 00:57:22.408000,5.857
10,0 days 00:57:24.903000,5.744
10,0 days 00:57:27.250000,5.602
10,0 days 00:57:29.333000,5.531
10,0 days 00:57:33.542000,5.781
10,0 days 00:57:36.631000,6.124
10,0 days 00:57:39.544000,6.172
10,0 days 00:57:42.276000,6.122
10,0 days 00:57:44.288000,6.042
10,0 days 00:57:50.569000,6.339
10,0 days 00:57:54.528000,6.289
10,0 days 00:57:56.396000,6.193
10,0 days 00:58:01.627000,6.684
10,0 days 00:58:07.198000,7.284
10,0 days 00:58:12.859000,7.652
10,0 days 00:58:19.775000,7.956
10,0 days 00:58:24.516000,8.125
10,0 days 00:58:31.682000,8.125
10,0 days 00:58:31.684000,8.443
10,0 days 00:58:34.867000,8.405
10,0 days 00:58:38.851000,7.895
10,0 days 00:58:39.946000,7.895
10,0 days 00:58:42.431000,8.139
10,0 days 00:58:44.783000,7.928
10,0 days 00:58:46.873000,8.091
10,0 days 00:58:51.053000,8.143
10,0 days 00:58:53.905000,8.183
10,0 days 00:58:56.807000,8.18
10,0 days 00:58:59.540000,8.169
10,0 days 00:59:01.552000,8.154
10,0 days 00:59:07.683000,8.211
10,0 days 00:59:11.595000,8.215
10,0 days 00:59:13.533000,8.212
10,0 days 00:59:18.274000,8.502
10,0 days 00:59:23.546000,8.686
10,0 days 00:59:28.899000,8.644
10,0 days 00:59:35.562000,8.686
10,0 days 00:59:40.114000,8.682
10,0 days 00:59:47.123000,8.854
10,0 days 00:59:50.362000,8.853
10,0 days 00:59:54.241000,8.804
10,0 days 00:59:55.346000,8.757
10,0 days 00:59:57.705000,8.629
10,0 days 00:59:59.906000,8.476
10,0 days 01:00:01.941000,8.556
10,0 days 01:00:06.246000,8.769
10,0 days 01:00:09.017000,8.852
10,0 days 01:00:11.984000,8.856
10,0 days 01:00:14.631000,8.801
10,0 days 01:00:16.631000,8.707
10,0 days 01:00:22.812000,8.859
10,0 days 01:00:26.762000,8.862
10,0 days 01:00:28.663000,8.867
10,0 days 01:00:33.503000,9.263
10,0 days 01:00:38.869000,9.467
10,0 days 01:00:44.234000,9.481
10,0 days 01:00:51.002000,9.634
10,0 days 01:00:55.588000,9.716
10,0 days 01:01:02.715000,9.922
10,0 days 01:01:05.980000,9.93
10,0 days 01:01:09.859000,9.883
10,0 days 01:01:10.949000,9.828
10,0 days 01:01:13.305000,9.69
10,0 days 01:01:15.478000,9.538
10,0 days 01:01:17.665000,9.72
10,0 days 01:01:21.899000,9.929
10,0 days 01:01:24.683000,9.99
10,0 days 01:01:27.597000,9.977
10,0 days 01:01:30.355000,9.916
10,0 days 01:01:32.260000,9.825
10,0 days 01:01:38.459000,9.998
10,0 days 01:01:42.359000,10.039
10,0 days 01:01:44.256000,10.037
10,0 days 01:01:49.110000,10.466
10,0 days 01:01:54.312000,10.58
10,0 days 01:01:59.862000,10.654
10,0 days 01:02:06.607000,10.758
10,0 days 01:02:11.215000,10.838
10,0 days 01:02:18.392000,11.049
10,0 days 01:02:21.545000,11.04
10,0 days 01:02:25.504000,10.98
10,0 days 01:02:26.538000,10.926
10,0 days 01:02:28.859000,10.768
10,0 days 01:02:31.048000,10.6
10,0 days 01:02:33.187000,10.769
10,0 days 01:02:37.423000,11.018
