Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-06-13 14:31:17,Other,CAR 27 (HUL) TIME 1:16.922 DELETED - TRACK LIMITS AT TURN 9 LAP 9 16:30:27,,,,,,
2026-06-13 14:38:37,Flag,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - DRIVING UNNECESSARILY SLOWLY,,BLACK AND WHITE,Driver,,27,
2026-06-13 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-06-13 14:40:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 87 (BEA),,,,,,
2026-06-13 14:42:30,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 43 (COL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-06-13 14:42:38,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 43 (COL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-06-13 14:47:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-13 14:51:15,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2026-06-13 14:51:30,Flag,RED FLAG,,RED,Track,,,
2026-06-13 14:51:30,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-06-13 14:51:40,Other,MEDICAL CAR DEPLOYED,,,,,,
2026-06-13 14:53:42,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-06-13 14:53:46,Other,OVERTAKE ENABLED,,,,,,
2026-06-13 14:54:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2026-06-13 14:58:44,Other,Q3 WILL RESUME AT 17:03,,,,,,
2026-06-13 14:59:06,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-06-13 15:03:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-13 15:05:00,Flag,BLACK AND WHITE FLAG FOR CAR 63 (RUS) - DRIVING UNNECESSARILY SLOWLY,,BLACK AND WHITE,Driver,,63,
2026-06-13 15:11:30,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-06-13 15:11:41,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,,
2026-06-13 15:14:26,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 55 (SAI), 23 (ALB), 81 (PIA), 31 (OCO), 77 (BOT), 18 (STR), 63 (RUS) AND 27 (HUL) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-06-13 15:14:37,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 43 (COL) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-06-13 15:16:38,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-06-13 15:17:07,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
