Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-06-12 16:10:03,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2026-06-12 16:10:04,Other,CAR 44 (HAM) TIME 1:23.191 DELETED - TRACK LIMITS AT TURN 8 LAP 25 17:58:52,,,,,,
2026-06-12 16:10:15,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2026-06-12 16:11:25,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2026-06-12 16:12:05,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2026-06-12 16:12:44,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2026-06-12 16:26:32,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2026-06-12 16:27:07,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2026-06-12 16:30:04,Other,START OF SESSION WILL BE DELAYED,,,,,,
2026-06-12 16:30:42,Other,SESSION WILL START AT 18:32,,,,,,
