Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber
2023-11-19 06:24:02,Other,CAR 31 (OCO) TIME 1:40.316 DELETED - TRACK LIMITS AT TURN 17 (NEXT LAP),,,,,
2023-11-19 06:30:57,Other,CAR 20 (MAG) TIME 1:39.792 DELETED - TRACK LIMITS AT TURN 7 LAP 13 22:29:16,,,,,
2023-11-19 06:30:58,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-11-19 06:30:59,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-11-19 06:31:39,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 17,,,,,
2023-11-19 06:32:11,Other,CAR 20 (MAG) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 14 22:30:58 (PIT),,,,,
2023-11-19 06:33:53,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,
2023-11-19 06:37:18,Other,TURN 14 INCIDENT INVOLVING CARS 81 (PIA) AND 44 (HAM) NOTED - CAUSING A COLLISION,,,,,
2023-11-19 06:38:04,Other,CAR 44 (HAM) TIME 1:58.137 DELETED - TRACK LIMITS AT TURN 7 LAP 17 22:35:58,,,,,
2023-11-19 06:38:35,Other,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CARS 81 (PIA) AND 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,,
2023-11-19 06:40:33,Other,CAR 77 (BOT) TIME 1:43.971 DELETED - TRACK LIMITS AT TURN 1 LAP 14 22:30:36,,,,,
2023-11-19 06:40:55,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-11-19 06:40:57,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-11-19 06:42:05,Other,CAR 18 (STR) TIME 1:39.953 DELETED - TRACK LIMITS AT TURN 8 LAP 20 22:40:54,,,,,
2023-11-19 06:49:43,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 14,,,,,
2023-11-19 06:51:24,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,
2023-11-19 06:51:24,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-11-19 06:52:40,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,
2023-11-19 06:52:52,Other,TURN 12 INCIDENT INVOLVING CARS 63 (RUS) AND 1 (VER) NOTED - CAUSING A COLLISION,,,,,
2023-11-19 06:54:11,Other,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 63 (RUS) AND 1 (VER) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,
2023-11-19 06:56:03,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,
2023-11-19 06:56:17,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,
2023-11-19 06:57:17,Flag,TRACK CLEAR,,CLEAR,Track,,
2023-11-19 06:57:20,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8,,,,,
2023-11-19 06:57:22,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - CAUSING A COLLISION,,,,,
2023-11-19 06:57:30,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,
2023-11-19 06:58:44,Other,PIT LANE INCIDENT INVOLVING CAR 1 (VER) NOTED - UNSAFE RELEASE,,,,,
2023-11-19 06:58:47,Other,CAR 10 (GAS) TIME 2:45.291 DELETED - TRACK LIMITS AT TURN 17 LAP 28 22:57:45,,,,,
2023-11-19 06:59:23,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 1 (VER) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE,,,,,
2023-11-19 06:59:30,Other,CAR 10 (GAS) TIME 1:41.251 DELETED - TRACK LIMITS AT TURN 17 (NEXT LAP),,,,,
2023-11-19 07:00:56,Drs,DRS ENABLED,ENABLED,,,,
2023-11-19 07:16:35,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,
2023-11-19 07:16:36,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,
2023-11-19 07:17:45,Other,CAR 2 (SAR) TIME 1:39.781 DELETED - TRACK LIMITS AT TURN 8 LAP 40 23:16:34,,,,,
2023-11-19 07:18:42,Other,CAR 23 (ALB) TIME 1:41.170 DELETED - TRACK LIMITS AT TURN 4 LAP 40 23:16:06,,,,,
2023-11-19 07:22:13,Other,CAR 16 (LEC) TIME 1:38.449 DELETED - TRACK LIMITS AT TURN 12 LAP 43 23:21:23,,,,,
2023-11-19 07:27:15,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,
2023-11-19 07:27:17,Other,DRS DISABLED IN ZONE 2,,,,,
2023-11-19 07:27:22,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,
2023-11-19 07:27:23,Other,DRS ENABLED IN ZONE 2,,,,,
2023-11-19 07:28:52,Other,CAR 44 (HAM) TIME 1:36.425 DELETED - TRACK LIMITS AT TURN 8 LAP 47 23:27:46,,,,,
2023-11-19 07:28:53,Other,CAR 14 (ALO) TIME 1:36.718 DELETED - TRACK LIMITS AT TURN 8 LAP 47 23:27:47,,,,,
2023-11-19 07:29:41,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,
2023-11-19 07:29:43,Other,DRS DISABLED IN ZONE 2,,,,,
2023-11-19 07:29:50,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,
2023-11-19 07:29:50,Other,DRS ENABLED IN ZONE 2,,,,,
2023-11-19 07:33:16,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,
2023-11-19 07:34:43,Flag,YELLOW IN TRACK SECTOR 21,,YELLOW,Sector,21.0,
2023-11-19 07:34:47,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,
2023-11-19 07:41:58,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,
2023-11-19 07:42:03,Flag,CLEAR IN TRACK SECTOR 21,,CLEAR,Sector,21.0,
